Priority,Short Description,Subdirectory,Report ID
P2,orion.css does not exist from debugger tests,Firefox,781122
P5,Add feature to sourceeditor/scratchpad: delete line(s),Firefox,725382
P1,[gcli] pref set Command broken,Firefox,776570
P2,[gcli] Behavior when part of a command is entered is unhelpful,Firefox,776998
P3,GCLI should s/path.existsSync/fs.existsSync/g,Firefox,781786
P3,GCLI should support 'then-able' promises instead of checking d.isPromise (#58),Firefox,781845
P2,system slow,Firefox,782075
P1,test error,Firefox,782101
P4,Firefox 16 x64 crash,Firefox,782341
P3,Intermittent failure in browser_tilt_* | Exited with code 1 during test run | Fatal IO error 12 (Cannot allocate memory) | NS_ERROR_FAILURE: Failure at resource:///modules/devtools/TiltGL.jsm followed by other errors and out of memory on Linux Opt,Firefox,761007
P2,"[Tilt] Move the ""3D View"" button to the developer menu",Firefox,759102
P1,Breakpoints not getting caught on reload,Firefox,783393
P1,Yahoo! Mail is slow,Firefox,780189
P2,Save files to not working and saving on desktop instead of specified path.,Firefox,783766
P1,login error,Firefox,784983
P1,Changing an elements tagName collapses the tree node with no way to expand the tree node,Firefox,785335
P1,Can't close the page inspector after toggling markup panel,Firefox,785380
P3,"Firefox recently imported GCLIs unit test harness, but not without changes. Backport them.",Firefox,785461
P2,GCLI creates OOM intermittent oranges,Firefox,768534
P2,Pressing up/down/tab while filtering scripts should have some expected behavior,Firefox,785883
P2,Make search related keyboard shortcuts discoverable,Firefox,785889
P3,Make it easier to stop searching for scripts in the Debugger,Firefox,785650
P5,Intermittent crash during browser_gcli_pref.js | application timed out after 330 seconds with no output [@ libxul.so@0x134131f],Firefox,766127
P3,Intermittent browser_gcli_addon.js | Test timed out,Firefox,773161
P3,GCLI output should not be forced to be xhtml,Firefox,768399
P3,"Intermittent OOM during browser_gcli_break.js, browser_gcli_edit.js | Exited with code 1 during test run",Firefox,768045
P3,"Intermittent browser_dbg_location-changes-new.js | There should be a selected script, | The source editor should have some text displayed, | The menulist should not display a notice that there are no scripts availalble, | The menulist should have a too...",Firefox,783810
P1,login functionality not working properly,Firefox,787025
P2,Command+c/v and Tab not working on FF16 for Mac,Firefox,787740
P4,CSS does not load,Firefox,788194
P1,GCLI problems when replacing valid arg value with a new value,Firefox,788215
P2,"GCLI rollup bug fix for bugs 786317, 739947, 708984, 786658, 681623, 787712",Firefox,788486
P3,dbg open and dbg close commands,Firefox,781797
P3,Debugger: JS scripts can get HTML syntax highlighting,Firefox,783729
P2,Remove the handling of tabNavigated events in frontend code,Firefox,785053
P4,"Flash related permanent freeze during page load (15.0, fixed in 15.0.1)",Firefox,789427
P2,Debugger breaking when it shouldn't,Firefox,785689
P1,Toolbar notification icons don't close on second click.,Firefox,789859
P1,unable to download files in dial up connection,Firefox,790150
P1,mozilla,Firefox,790160
P2,"Byte Order Mark (BOM) ""ï»¿"" when using UTF-8 with signature",Firefox,789778
P2,Corrupt non-latin text into debugger,Firefox,786169
P2,DebuggerController._isChromeDebugger is broken,Firefox,787181
P3,It may be a good idea to have the debugger start with collapsed panels,Firefox,790650
P3,Search operators are hardcoded in debugger.xul,Firefox,790891
P1,"Application crash on clicking submit button while creating ADMIN, hence unable to create admin",Firefox,791186
P2,Protocol layer performance overhead is too much for local transports,Firefox,790202
P1,debugger broken in nightly,Firefox,792219
P3,Global search match sometimes not visible when lines are too long,Firefox,785820
P3,Simplify SourceClient's API for its consumers,Firefox,788754
P2,JavaScript Debugger doesn't open at all,Firefox,789065
P2,Optimize global search results,Firefox,790216
P3,Reserve 'd' as accesskey for Debugger in tools menu > web developer,Firefox,790227
P1,Debugger server always creates new actor instances,Firefox,790952
P2,Need a mechanism to select a script programmatically in the debugger,Firefox,791323
P3,Make the tabNavigated notification reusable by the Web Console,Firefox,792062
P3,Add keyboard shortcuts for scripts filtering (browsing through matched files),Firefox,789029
P4,Avoid javascript strict warnings across the debugger frontend,Firefox,787207
P3,The window object has too many properties to scroll through,Firefox,786070
P1,XML parsing error in browser.xul on safemode or normal Aurora 17a2 startup,Firefox,793101
P4,Browser shut down occurs while working on it,Firefox,794780
P3,home page not displaying correctly,Firefox,794819
P2,menu  is not displaying,Firefox,794830
P3,web page not displayed correctly,Firefox,794847
P3,unable to submit search form,Firefox,794849
P3,google page not displayed correctly,Firefox,794856
P1,download all pages in one minute,Firefox,794859
P5,nuzilla shows wrong,Firefox,794863
P5,slow browser,Firefox,794875
P1,Intermittent browser_dbg_bfcache.js | uncaught JS exception - TypeError: element is undefined at debugger-controller.js:1275,Firefox,782877
P4,URL cant be read in the location bar dropdown,Firefox,795669
P1,malfunctioning of download,Firefox,795733
P1,Fix the Copy/Paste in the inspector sidebar for real,Firefox,794254
P3,Property panel needs restyling,Firefox,618320
P2,"Refactor and move the debugger's PropertyView in shared, so that it can replace PropertyPanel.jsm soon",Firefox,794823
P2,Add a method of exposing chrome globals in the debugger UI,Firefox,794941
P3,PDF Controls don't function in Nightly,Firefox,793832
P1,Scrolling in zoom options with left/right arrow keys also changes page,Firefox,794794
P1,Privacy issue with pdf.js remembering last view,Firefox,795834
P1,[markup panel] Don't fully expand nodes with large amounts of children in markup panel (performance),Firefox,796006
P3,Potential security hole: caching context of .url windows shortcut,Firefox,798351
P2,no flexibility of customization of search engine,Firefox,798940
P1,navigation not found,Firefox,799045
P3,PDF Viewer displays incorrect background color,Firefox,798748
P1,Let the highlighter select non-element nodes,Firefox,785180
P1,Refactor how the inspector menus (breadcrumbs and infobar) work (don't clone),Firefox,788150
P2,Promote list of pause actors at once,Firefox,795969
P2,Actor names should not change when promoted to thread-lifetime,Firefox,795263
P4,browser is closed in the middle,Firefox,800411
P3,Encountering problems with JavaScript in FireFox 16.0.1 in MyBB,Firefox,801413
P3,URL Address Bar listbox texts disappeared,Firefox,801469
P4,"Tools -> Addons doesn't work, manually opening about:addons does",Firefox,802693
P2,Remember last IP address for remote debugger,Firefox,790556
P2,A breakpoint doesn't stop JS Execution,Firefox,793214
P3,Search operator for finding a variable in scope(s) while the debugger is paused,Firefox,793375
P3,Provide some obvious UI for scripts filtering,Firefox,796135
P2,Implement a 'gear menu',Firefox,796148
P3,Alt Shift F/T does not do what is intended on Windows,Firefox,796152
P3,[debugger] closing the debugger throws an exception: TypeError: DebuggerView.Scripts is undefined,Firefox,797333
P3,The variables view should be filterable,Firefox,798874
P3,Add UI for toggling the debugger server in Firefox OS,Firefox,799153
P1,10/22: Need to update hotfix cert fingerprint for FF10-16.0.1 through a hotfix,Firefox,803596
P5,Not able to open the specific websites,Firefox,803804
P1,Bug in find_wrapped_to_bottom in pdfviewer/viewer.properties,Firefox,803644
P1,not displaying calender control,Firefox,804488
P3,Implement a way of keeping the debugger panes always visible,Firefox,804575
P1,out of control,Firefox,805238
P2,Unicode in script names breaks scratchpad's recent files,Firefox,783858
P2,Scratchpad should ask for confirmation before closing,Firefox,794898
P2,Leak if I quit while Scratchpad is open,Firefox,797065
P2,Open recent file fails if the file doesn't exists anymore,Firefox,793031
P3,Avoid rebuilding the entire variables tree when performing a client evaluation,Firefox,806058
P1,"After 16.0.2 update, nothing works. No websites can be acessed, no error message, just a blank screen",Firefox,806110
P3,Presentation mode does not work in pdf.js,Firefox,804526
P1,Restore MPL 2 headers removed by recent pdf.js update,Firefox,806329
P1,LiveConnect not working in Firefox 16.x,Firefox,806134
P1,login failure,Firefox,807619
P2,"""TypeError: this._tabActor._tabbrowser.removeProgressListener is not a function"" when closing the debugger",Firefox,805381
P2,Intermittent browser_dbg_reload-same-script.js | an unexpected uncaught JS exception reported through window.onerror - TypeError: this.threadActor.dbg is null at chrome://global/content/devtools/dbg-browser-actors.js:512,Firefox,806160
P3,Relax global search results auto-expand rules,Firefox,805759
P2,"Intermittent browser_dbg_location-changes-blank.js | The source editor not have any text displayed. - Got 546, expected 0",Firefox,806748
P1,"setting ""devtools.debugger.force-local"" to false breaks Marionette in b2g",Firefox,800138
P2,Integrate SPS Profiler (JS Only),Firefox,795268
P1,"Chat window scrolled to beginning of chat history and can't be scrolled, when chat is open as minimized",Firefox,805071
P1,can't turn off Facebook chat on sidebar,Firefox,806397
P1,Facebook notification icons are clipped on bottom and right,Firefox,808198
P1,Facebook chat opens in all windows,Firefox,807809
P1,Friend status indicator is different in sidebar and chat window,Firefox,808116
P1,Attachment is not working for windows vista platform,Firefox,808283
P2,"After bug 807222, the variables view feels sluggish when expanding some nodes",Firefox,808372
P3,The remote and chrome debugger windows should remember their size across sessions,Firefox,808691
P3,Clicking on the empty area of the stack list produces error message: item is null,Firefox,808980
P3,Add a pref to disable sorting the variables when adding them in the view,Firefox,808786
P3,The stackframes and breakpoints containers should have a min and max height,Firefox,808988
P3,Stick the variables view exported symbols on 'this',Firefox,809002
P3,The remote and chrome debugger windows don't have a title,Firefox,809392
P1,[markup view] Clicking on a node doesn't lock the highlighter,Firefox,807274
P1,Rename find_wrapped_to_bottom to reflect string change,Firefox,812782
P1,Firefox 17 built with old XUL,Firefox,813892
P2,Add a way to edit or remove watch expressions while the debugger is paused,Firefox,812814
P2,Re-enable chrome debugging outside of the toolbox,Firefox,814655
P1,horizontal scroll bar is not there,Firefox,814672
P2,Breakpoint clients sometimes don't know how to remove themselves,Firefox,812869
P3,Provide watch expressions context menus,Firefox,815291
P2,Source editor's 'Find' and 'Jump to line' commands should use the frontend UI,Firefox,815277
P2,Browser Debugger should freeze debuggee execution when paused,Firefox,816569
P3,The WebConsole should use the DevTools CSS theme (dark theme),Firefox,704110
P3,Hide the variables filter box while there are no variables to filter,Firefox,816596
P1,Search option not working,Firefox,816795
P2,Closing Browser Debugger via the Window Close button no longer kills the Browser Debugger Process,Firefox,816983
P1,[toolbox] Client never disconnects when closing the debugger,Firefox,817261
P2,User name field accepting special character,Firefox,817280
P1,Browser is not opening even after connecting internet,Firefox,817969
P2,"""only user styles"" checkbox is badly named, since ""user style"" is a technical term meaning something else",Firefox,740055
P1,Ctrl-C in the Rule View and the Property view doesn't work,Firefox,788431
P3,Having line and token operators in the same query makes the scripts menulist behave weirdly,Firefox,818430
P2,Item are not adding in toolbar,Firefox,818478
P1,Can't remote debug B2G (desktop and on device),Firefox,818884
P1,"Firefox 17.0.1: wrong globalization string ""it"" => ""it-IT""",Firefox,819709
P1,it is not opening the desired site,Firefox,820737
P1,gmail mail s not working,Firefox,820771
P2,"[toolbox] Buttons (close, undock and tabs) don't have tooltips",Firefox,819929
P2,"[toolbox] Make the ""Web Developer"" appmenu entry a combo button (Linux & Windows).",Firefox,818447
P1,[toolbox] inspector page navigation is fragile,Firefox,818439
P2,[toolbox] We should not be able to dock a toolbox if the target is Remote or Win,Firefox,818436
P2,[toolbox] The close button and the undock button should be located at the end of the toolbar on Linux and Windows,Firefox,818434
P1,"[markup view] once the toolbox is re-attached to the tab, the markup view keybindings don't work anymore",Firefox,818411
P1,[toolbox] Implement Shorlander's visual design,Firefox,818033
P2,[toolbox] Disable Inspect Mode when switching tools in Toolbox,Firefox,817705
P2,Command buttons in toolbox do not have tooltip,Firefox,817579
P3,"[inspector] When the selection is deleted, we should select the parent, and make sure the breadcrumbs are updated.",Firefox,817558
P3,Fade the highlighter when sidebar is hovered.,Firefox,817553
P1,[toolbox] select tool when used from commands and inspect context menu,Firefox,817385
P1,[toolbox] Markup panel is sometimes blank on page change,Firefox,814890
P1,gDevTools needs an API review [toolbox],Firefox,813031
P1,Target is firing a navigation event when an anchor is clicked,Firefox,821141
P3,Hard to find the minimized Remote Debugger window,Firefox,810702
P3,Global searches choke when a source takes too long to fetch,Firefox,819945
P3,Script URLs no longer appear in tooltips,Firefox,820311
P3,[toolbox] The _onCloseClick function in ToolbarView is never used,Firefox,814844
P3,[toolbox] remove references to devtools.debugger.ui.height,Firefox,818424
P3,Watch expression evaluations should not display the configurable/enumerable/writable tooltip,Firefox,816440
P2,[toolbox] 'tilt toggle' command breaks if tilt is opened while the inspector is not active,Firefox,822028
P3,i hit a close button application is not closing,Firefox,822175
P1,[rule view] exception since toolbox (TypeError: this._elementStyle is undefined),Firefox,820740
P4,Not working,Firefox,822579
P1,Reduce queries load on Downloads view opening,Firefox,822710
P1,winstripe theme-ing for new Downloads View in Places,Firefox,822258
P1,gnomestripe theme-ing for new Downloads View in Places,Firefox,822257
P1,Use the Downloads View in Places if it's preffed on,Firefox,822244
P1,Disable the Downloads Panel in Firefox 19,Firefox,815295
P2,Downloads Summary icon needs to be revisited,Firefox,814510
P1,Indicator attention state needs more contrast on gnomestripe,Firefox,812221
P1,Make it possible to open the downloads view in the Library window to be opened up inside a tab,Firefox,815352
P1,hide the detailsPane for the new downloads view,Firefox,822848
P3,history is not getting cleared,Firefox,823830
P1,Hide old downloads manager preferences when the panel is enabled,Firefox,824345
P2,Downloads panel footer overlaps panel border,Firefox,819283
P1,Enable the new Downloads View by default when the panel is enabled,Firefox,825060
P1,Fix document handling in nsObjectFrame.cpp,Core,322052
P1,CVE-2006-0293 GC hazard during function allocation.,Core,322045
P2,calling push method on array with maximum length (2^32-1 = 4294967295) causes Spidermonkey to run out of memory,Core,322135
P1,"CVE-2006-0299 * (""AnyName"") entrainment and (given future chrome use of e4x) access control hazard",Core,322312
P3,"Convert all whitespace to spaces in (most) HTML attributes (title, alt, javascript,...)",Core,322270
P1,[FIX]FF 1.5 doesn't apply CSS stylesheets in document after XSLT transformation,Core,322461
P1,runtime->anynameObject + runtime->functionNamespaceObject circular dependency,Core,322499
P3,[FIX]ASSERTION: Could not find an adaptor! (<xul:scrollbox> inside inline element),Core,322786
P3,zero-width lookahead assertions fairly busted in JS regexps,Core,322836
P2,Array implementation should specialize its own nearly-native JSObjectOps,Core,322889
P3,[FIX]Add some more use of AttrValueIs to layout,Core,322936
P1,[FIX] Yahoo Beta Mail related crash [@ nsScriptSecurityManager::CheckSameOriginPrincipalInternal()],Core,322683
P1,Bogus return in XPCNativeWrapper,Core,322971
P1,A non empty BODY element triggers the *:empty CSS selector,Core,323052
P4,</head> strips spaces following it,Core,323229
P3,JSMSG_EQUAL_AS_ASSIGN in js.msg is JSEXN_NONE should be JSEXN_SYNTAXERR,Core,323314
P2,"When E4X code is run twice (or more), the SpiderMonkey engine crashes [@ js_AllocStack 0deb057d]",Core,323338
P1,When opening Options dialog second time Options window is empty,Core,322701
P2,Warning: No inner window available! (nsGlobalWindow::SuspendTimeouts),Core,323380
P1,security check of js_ValueToFunctionObject() can be circumvented,Core,323501
P1,non-minimum-sized GC arena pools have wrong alignment modulus,Core,323529
P4,Bogus closing tag syntax comment parsed as an SGML comment,Core,323736
P3,"<iframe src=""bogus:""> triggers ""ASSERTION: nsPrompt used too early on window object!""",Core,322773
P5,"""DTD verification"" is obsolete",Core,323958
P3,Simplify nsExpatDriver,Core,323299
P1,The accesskey label is doubled if the label ends (X),Core,324159
P4,Userdefined tags can lose one of their attributes,Core,324182
P2,"JS Error: Uncaught Exception using ""for (key in array)"" statements",Core,323833
P3,E4X literals with embedded expressions unsufficiently constant-folded,Core,323979
P3,[FIX] Submitting file control that's just been added to the DOM fails,Core,324377
P1,Crash when creating a new E4X XML object using a large string,Core,324422
P1,Add JS_LeaveLocalRootScopeWithResult API,Core,324592
P4,Reparameterize js_CheckPrincipalsAccess to avoid eager calls to js_AtomToPrintableString,Core,324694
P1,infinite loop in switch-statement with 1800 cases,Core,324650
P1,<object> prefers SVG plugin to native SVG,Core,324705
P3,Remove nsIParser::RegisterDTD and related code,Core,324738
P1,[FIX]Using background-image CSS style for treechildren::-moz-tree-row causes excessive CPU load,Core,323028
P2,"[FIXr]Attribute setting isn't always ""first wins""",Core,324378
P3,[FIXr]Closing head context in HTML sink should FlushText(),Core,324476
P2,Move XMLHttpRequest to gklayout,Core,324865
P1,Crash if stop loading while favicons are coming in,Core,324988
P2,"frequent random crashes [@ _PR_MD_ATOMIC_DECREMENT], especially with adblock",Core,322414
P1,[FIX]Major Rlk increase on balsa,Core,324969
P3,[FIX]Add some nsINode love in nsDataDocumentContentPolicy,Core,325006
P3,Make the unknowndecoder implement nsIContentSniffer,Core,325177
P3,"reports that XML.ignoreWhitespace is true but acts as if it were false, in a XPCOM callback",Core,324688
P2,"[FIX]Crash when clicking on splitter using wizard, splitter and tooltip [@ nsIFrame::IsBoxFrame]",Core,325132
P1,[FIX]Various window properties are allAccess and should not be,Core,325297
P1,GC hazard in js_ConstructObject from jsobj.c,Core,325269
P2,[FIX]crash if I click on previously by javascript deleted <option> in <select>-box,Core,325321
P2,Memory leak if a site sets location and then document.writes (e.g. when visiting www.economist.com),Core,323441
P2,Failure to free a JSScript in obj_eval,Core,325479
P2,"nsGREGlue check of GRE_HOME needs to add ""/libxpcom.so""",Core,325450
P3,--disable-activex-scripting does two different things,Core,324939
P3,Make xpconnect IDispatch support build without ATL/MFC,Core,324162
P3,Allow accessibility to build without ATL/MFC,Core,325070
P2,Allow build-system addons without having to modify the root configure scripts or makefiles,Core,325096
P1,Need to ship vc8 redist bits in the installer,Core,324690
P2,Move DOM inspector C++ components into gklayout,Core,325100
P1,standalone glue registers exit routine which is called after module unload,Core,325229
P1,jsxml.c: Bad assumptions about js_ConstructObject,Core,325425
P3,Incorrect XML syntax coloring with the presence of [...],Core,325532
P1,Javascript library jsMath causes Firefox to crash [@ ClaimScope][@ WillDeadLock],Core,325540
P1,HTTP server for unit tests,Core,325815
P2,"When calling XPCNativeWrapper's toString method, content-defined toString method can be called",Core,323367
P1,Don't nest any interpreted function calls on C stack,Core,325960
P1,"[FIX]Crash [@ nsIFrame::GetParent] with evil testcase position:relative/absolute/display:table-column, etc",Core,322678
P1,"css ""no-repeat"" background image and emoticons not displayed on inlines",Core,324960
P1,[FIX]Site can cause user's file to be uploaded by changing input type,Core,325947
P1,"[FIX]js exploit via ""print preview""",Core,325991
P3,Send referrer to GlobalHistory even when it isn't being sent over the network,Core,326107
P1,[FIX]mOpenerScriptURL should be mOpenerScriptPrincipal,Core,325816
P2,Error in context node when parent control only uses model,Core,324468
P1,1.0.8 builds fail to launch with pegged cpu usage,Core,326279
P3,XPConnect is eating exceptions,Core,326497
P3,[FIX] Conditional SVG with display: -moz-inline-stack crashes Firefox [@ nsIFrame::GetParent],Core,326495
P1,"Assertion failure: (uint32)slot < JS_MIN(((obj)->map)->freeslot, ((obj)->map)->nslots), at c:/mozsource/mozilla/js/src/jsinterp.c:4495",Core,326467
P1,"CVE-2006-1531 [FIX]Crash with evil xul testcase, using listbox/listitem and display: table-cell",Core,326834
P2,GNOME/GTK icon code is extremely slow,Core,326714
P3,[FIX]Input button layout doesn't use GetValue(),Core,326250
P1,filechannel ignores content type hint,Core,326693
P3,[FIX]Defining a property with an empty <setter> leads to segfault,Core,326910
P2,[FIX]document.getBoxObjectFor({}) crashes,Core,326778
P1,document.createEvent('TextEvent') crashes,Core,327066
P1,"Reuse of RegExp in string.replace(rx.compile(...), function() { rx.compile(...); }) causes a crash",Core,327170
P1,[FIX]Implement a powerless non-principal,Core,326506
P1,TARGET_XPCOM_ABI changes needed for Mac universal binaries,Core,323328
P1,Hang involving E4X (cycle in an XML object?),Core,327564
P3,[FIX]Don't leak the channel and XMLHttpRequest object if AsyncOpen fails,Core,323454
P3,[FIX]Crash [@ nsBoxFrame::AttributeChanged] when changing ordinal value of a xul element in html,Core,326998
P1,"Crash [@ js_SetCallVariable] or ""Assertion failure: prop, at jsfun.c:1046""",Core,327608
P1,XPCNativeWrapper.prototype() crashes [@ JS_GetClass],Core,327686
P1,fun_xdrObject should root fun across call to js_XDRScript,Core,327708
P1,XPC_NW_NewResolve should root its cloned function object,Core,327716
P3,"[FIX]boxobj.setPropertyAsSupports(undefined, undefined) crashes [@ nsBoxObject::SetPropertyAsSupports]",Core,327776
P3,"CNavDTD shouldn't have an IID, nor should we try to QI to it",Core,327980
P2,Leaked observer service leaks things on shutdown,Core,326491
P1,nsIFoo.toString.apply(Components) crashes Firefox [@ GetWrappedNativeOfJSObject],Core,327597
P3,"""ASSERTION: nsDOMClassInfo::GetProperty Don't call me!"" when getting an input element by name through the prototype of another dom node",Core,327571
P5,crash [@ PR_Lock] through nsSocketOutputStream::CloseWithStatus,Core,324922
P1,"Crash [@ js_GetStringBytes] involving apply, __proto__, E4X",Core,327897
P1,Crash [@ JS_GetClass] called from nsDOMClassInfo::PostCreate,Core,327695
P1,Make XPConnect refuse to wrap E4X (was: HTMLSelectElement.add hangs if second parameter is E4X),Core,327697
P5,ASSERTION: Don't call getComputedStyle with a null DOMElement reference!,Core,326865
P3,[FIX]Remove nsPIDOMWindow::GetOpenAllow or make it useful,Core,327098
P3,More evalInSandbox cleanup,Core,328161
P1,don't allow creating multiple io services,Core,328218
P1,[FIX]offset* code needs to be adjusted for bug 299065,Core,328264
P1,E4X crash due to infinite recursion in js_IsXMLName,Core,328249
P1,rename cairo functions,Core,328082
P3,Getting a lot of WARNING: BOGUS code reached! in gtk2/nsWindow.cpp,Core,325073
P2,Call CheckLoadURI before issuing pings,Core,323924
P1,JS_ASSERT(c <= cs->length) in AddCharacterToCharSet,Core,325925
P1,Trunk crash [@ SinkContext::~SinkContext],Core,328751
P1,Don't optimize global eval vars,Core,328765
P1,assertion running e4x tests,Core,328769
P1,[FIX]print preview killing browser's chrome,Core,328851
P1,Image requests need to cancel properly,Core,328903
P1,Replace NS_WARN_IF_FALSE with NS_ASSERTION (where appropriate),Core,328925
P3,Implicitly opened heads confuse the fragment content sink.,Core,329007
P2,JS running while an exception has been thrown,Core,329046
P2,JS_ReportPendingException doesn't,Core,328897
P3,Crash with parsing malformed XUL file with -chrome,Core,326741
P1,[FIX]print preview causes memory corruption at least via <xul:editor src='javascript,Core,328839
P2,implement safari-style residual style handling,Core,328930
P4,"noframes tag implicitly ends p tag while noscript, nolayer, noembed tags do not",Core,327250
P1,xterm title setting should use ESC]0 rather than ESC]2,Core,329358
P1,Crash with iExploder testcase 10158270,Core,329364
P1,Crash with iExploder test 10050419 [@ js_AllocStack],Core,329399
P1,Text size change either via control key or View -> Text Size fails with Error: uncaught exception: 2147942487,Core,329383
P2,[FIX]Eliminate the mPresShell member of nsBoxObject,Core,329181
P1,[FIX]root new function objects before JS_DefineUCProperty,Core,328007
P2,nsSocketInputStream::Available is not implemented properly,Core,329559
P1,Disk cache keeps emptying itself,Core,329260
P2,[FIX]Crash [@ nsFrameList::DestroyFrames] with evil testcase using position:fixed/absolute; and ::first-line,Core,322348
P4,nsDiskCacheMap.h: operation on blockCount undefined,Core,329357
P1,Empty XUL document crashes Firefox [@ nsXULDocument::ResumeWalk],Core,326204
P1,[FIX]Navigation keys don't work in composition,Core,330133
P1,[FIX]crash when retrieving contentFrame.contentDocument,Core,330089
P2,"[FIX]Submit button with empty value now has ""Submit Query"" text",Core,330469
P1,"If first character is existing on current font and second or more characters are not so, we fail to render the text",Core,328940
P1,Very non-greedy regexp causes crash in jsregexp.c,Core,330352
P1,document.all warnings fill up the event queue,Core,330623
P3,[BeOS] can't enter file paths in urlbar directly,Core,330727
P3,SOAPParameters with element set cause SOAPCall::encode to throw,Core,330855
P4,Mishandling of assignment around the ternary operator,Core,330975
P4,Narcissus pollutes String.prototype,Core,330976
P4,Narcissus fails to report missing brackets,Core,331127
P1,LoadImage should not call nsILoadGroup::RemoveRequest,Core,330394
P2,Synchronize nsStreamUtils between trunk and 1.8 branch,Core,331163
P1,DOM property setter override (remote compromise),Core,330773
P3,"""Permission denied to get property ChromeWindow.PropertyIterator""",Core,328012
P3,"Uncatchable exception with ""new (G.call) (F);"" when F's proto is null",Core,328443
P2,background painting and scrollbar code should use nsHTMLDocument::GetBody directly,Core,331530
P1,Layout module should not shut down until all documents have been released,Core,331117
P3,invalid assertions on startup [XPCOM objects created/destroyed from static ctor/dtor] (gActivityTLS != BAD_TLS_INDEX && NS_PTR_TO_INT32(PR_Get ThreadPrivate(gActivityTLS)) == 0),Core,326837
P1,"""ASSERTION: XPConnect is being called on a scope without a 'Components' property!""",Core,323978
P1,Null ptr deref crash deleting XML methods,Core,331664
P1,Problem with String.replace running with WAY_TOO_MUCH_GC,Core,331719
P3,trace-malloc should override additional functions,Core,331742
P1,Content injection spoofing with Content-Length header overflow,Core,328817
P1,Content injection spoofing with a space before colon in HTTP header,Core,329746
P1,Crash on NTLM Authentication against an NT4 / IIS4 Server,Core,330044
P1,Additional problems with incomplete cache entries and cache flush assertions.,Core,330397
P1,Problem updating UI with external instances,Core,332211
P2,@selected is not working,Core,332129
P1,js is seriously horked on the trunk,Core,332199
P1,[1.0.8rc regression] PAC script that uses eval() or new Function() no longer works,Core,331943
P1,FunctionDef should root fun->obj across call to js_LookupHiddenProperty,Core,331787
P1,Content injection spoofing with a combination of headers defined by HTTP/1.0 and 1.1 (e.g. Content-Length and Transfer-Encoding: chunked),Core,330214
P1,[FIX]Persist seems to let any page set any persist value,Core,329677
P1,new RegExp() ignores string boundaries when throwing exceptions,Core,332472
P1,Saved xml content gives xml parsing error in this case,Core,332239
P1,[FIX]Make sure nsNodeInfoManagers always have a principal,Core,327246
P1,[FIX]nsNodeInfoManager destructor can crash,Core,332528
P2,[FIX]null deref crash when using a javascript: URI with a chrome XMLHTTPRequest [@ nsJSThunk::EvaluateScript],Core,328697
P1,"[FIX]Crash with evil testcase, using html, xforms elements in xul document",Core,330903
P1,[FIX]Crash [@ nsContentIterator::NextNode] involving reparenting XBL anonymous children,Core,330925
P3,"Wrong line number reported in js console, with textarea in page",Core,331482
P1,[FIX]document.write on already open document clears it in some cases,Core,331620
P2,[FIX]Possible to double-notify on <head> element in HTMLContentSink,Core,332644
P1,"<select style=""-moz-binding: url(#t)""> hangs the browser (iExploder test 10030070)",Core,329410
P2,[FIX]position: fixed elements are positioned relative to the page rather than the viewport,Core,331729
P1,"uneval on E4X gives ""Error: xml is not a function""",Core,327534
P2,Asserts when closing documents and stopping loads,Core,332896
P4,Remove support for the <sound> tag,Core,333057
P2,[FIX]popup window with js redirect after onbeforeunload and window.close causes the opener window to redirect,Core,332901
P1,better way of dealing with computed padding and margin,Core,332922
P1,[FIX]Add auto-declaring macros for doc updates and gc roots,Core,333148
P5,remove idle timer / timer manager after bug 326273 is fixed,Core,333167
P1,crash with iframe removing itself [@ nsAttrAndChildArray::Clear] [@ nsAttrAndChildArray::~nsAttrAndChildArray],Core,332971
P1,Heisencode in js_GetAnyName,Core,333398
P5,[@ nsDTDContext::Pop],Core,333388
P3,"missing ""..""  from expression 1..toSource();",Core,333541
P2,[FIX]Add pref to control which filepicker is used,Core,333653
P2,[FIX]|window instanceof X| throws a lot (e.g. if window is not an instance of X),Core,327156
P1,Gmail (https-only) won't properly load,Core,333697
P4,for (var i in null) throws,Core,333911
P4,toObject should use global.Ctor instead of simply ctor.,Core,334024
P5,nsIContent::List implementations assert too much,Core,334055
P1,crashes due to null mBodyContent in nsImageDocument::CheckOverflowing [@ nsStyleContext::GetStyleData],Core,334080
P1,"WAY_TOO_MUCH_GC crash opening Firefox bookmarks menu, doing GC inside XPC_WN_Shared_ToString",Core,334104
P4,Implement an apply that can be composed with new,Core,331429
P3,[FIX]window.addEventListener.arity is 0 (should be 3),Core,334245
P4,[FIX]NS_ScriptErrorReporter would use rv uninitialized if !message && !report,Core,334233
P1,[FIX]nsScriptSecurityManager::SecurityCompareURIs uses sourcePort unitialized if getting targetPort fails,Core,334210
P3,[FIX]ASSERTION: Bogus: '!mHead' (nsLineBox.cpp#916 - nsFloatCacheFreeList::Append),Core,334105
P1,pldhash/jsdhash should assert that ops don't mutate the table,Core,334180
P5,[1.0.x] Fix for Bug 293527 can be circumvented by using <object> element,Core,333539
P5,Buffer overrun in nsPermissionManager::Read when reading an invalid cookperm.txt file,Core,334319
P3,"|typeof (0, undef)| does not throw ReferenceError",Core,333728
P1,[FIX]Crash during startup in _cairo_ft_scaled_glyph_init,Core,330957
