Classification,Summary
GUI-related issue,The addition of a DBCS project to the workspace resulted in a core dump due to a shift in perspective.
GUI-related issue,The addition of a DBCS project to the workspace resulted in a core dump due to a change in perspective.
GUI-related issue,The [Dialogs] widget is eliminated while using an unbound type dialog.
GUI-related issue,The [Dialogs] widget is disposed within an open type dialog.
GUI-related issue,The 'Dialogs' component is eliminated within a dialogue box of the open variety.
GUI-related issue,The Coverage Statistics view removes all Java packages except for the default package in the agent.
GUI-related issue,The Coverage Statistics view removes all Java packages from the agent except for the default package.
GUI-related issue,The Coverage Statistics view removes all of the Java packages except the default package from the agent.
GUI-related issue,Display the name of the lifeline when the view is scrolled down.
GUI-related issue,Display the name of the lifeline as the view is scrolled down.
GUI-related issue,Display the name of the lifeline while scrolling through the view.
GUI-related issue,(M8) Icon not found: connection to viewer not detected
GUI-related issue,(Link missing icon: connect with viewer)
GUI-related issue,(8M) Icon not found: connection to viewer
GUI-related issue,Enable the expansion and collapse feature for graph nodes in the log view for improved interaction.
GUI-related issue,"Implement a feature that allows nodes on a logarithmic graph to expand and collapse, providing support within the view of logarithmic interactions."
GUI-related issue,Enable and disable the expansion and contraction of graph nodes in the log interactions view.
GUI-related issue,Display relationships between group log nodes based on user selection.
GUI-related issue,Display the relationships between group log nodes based on the selected user.
GUI-related issue,Demonstrate the connections between group log nodes based on the user's chosen options.
GUI-related issue,"If no profiling has been chosen, the user interface needs to set the TRACE_MODE to ""none""."
GUI-related issue,"If there is no profiling chosen, the user interface should assign the TRACE_MODE as ""none""."
GUI-related issue,"If no profiling is chosen, the user interface must designate the TRACE_MODE as ""none""."
GUI-related issue,Widgets without any text will not be visible on Composite with GridLayout.
GUI-related issue,Widgets that lack text will not appear on the Composite with a GridLayout.
GUI-related issue,Widgets without any accompanying text do not appear on the Composite with a GridLayout.
GUI-related issue,The app that was launched with Composite and Gridlayout is not displaying the controls.
GUI-related issue,The application that was started with a Composite and Gridlayout does not display the controls.
GUI-related issue,The application that was launched with Composite and Gridlayout does not display the controls.
GUI-related issue,The Graph Viewer is experiencing issues with correctly positioning the SWT ToolItem figure.
GUI-related issue,The image for the SWT ToolItem is not properly placed within the graph viewer.
GUI-related issue,The ToolItem figure in the graph viewer does not appear in the correct position.
GUI-related issue,The act of creating a profile to file does not result in files that comply with UTF-8 standards.
GUI-related issue,The process of creating a profile to a file does not result in the production of UTF-8 compatible files.
GUI-related issue,Saving the profile as a file does not produce files that are compatible with UTF-8.
GUI-related issue,Issues encountered while configuring the BoxLayout beneath a TabbedPane.
GUI-related issue,Issues configuring BoxLayout within a TabbedPane
GUI-related issue,Issues encountered while configuring BoxLayout within a TabbedPane
GUI-related issue,'MoreSwingComponents not displaying correctly'
GUI-related issue,'Malfunction in the display of MoreSwingComponents'
GUI-related issue,Insufficient display of MoreSwingComponents
GUI-related issue,The editor is unable to open and generates Null Pointer Exceptions.
GUI-related issue,The editor is unable to open and thus causes NullPointerExceptions to occur.
GUI-related issue,The editor is unable to open and throws a NullPointerException.
GUI-related issue,The update for the snippet is being implemented during the top-down updates.
GUI-related issue,"During updates from the top, the snippet update is taking effect."
GUI-related issue,The activating of snippet updates while conducting top down updates.
GUI-related issue,Making changes to RCP Mail results in codegen producing mistakes in syntax.
GUI-related issue,"When modifying RCP Mail, codegen produces syntax mistakes."
GUI-related issue,Modifying RCP Mail results in codegen producing incorrect syntax.
GUI-related issue,Problem identified by Probekit is not translated in Filters Customization of TVT 3.1 and TCT 545.
GUI-related issue,"TVT version 3.1 is correlated to TCT 545, where a problem identified by a probe kit remains unaddressed in the customization of filters."
GUI-related issue,The issue identified by the Probekit in customizing filters has not been translated in TVT 3.1 and TCT 545.
GUI-related issue,"The page ""TVT 3.1 - About > Plugins"" displays a list of all the plug-ins available, including the ones labeled "" #%plugin.name."""
GUI-related issue,"""TVT 3.1 - About > Plugins"" section displays a list of plug-ins labeled as "" #%plugin.name."""
GUI-related issue,"The section for plug-ins on TVT 3.1, titled ""About > Plugins,"" lists the names of the plug-ins as "" #%plugin.name."""
GUI-related issue,Unable to include Equivalence classes into the dataset.
GUI-related issue,Not able to include equivalence classes in the datapool.
GUI-related issue,Not able to include equivalent groups in the data pool.
GUI-related issue,"'Refresh' in the view of Profiling Monitor, without saving agent(s) that were lost during active attachment."
GUI-related issue,Update the Profiling Monitor view without storing any discarded active attach agent(s).
GUI-related issue,'Renew' the Profiling Monitor view without preserving any detached attach agent(s).
GUI-related issue,Contributing properties of the action object for Log Node/Correlations.
GUI-related issue,Log Node/Correlations' contributing impact on action object properties.
GUI-related issue,'Log Node/Correlations' properties' influence on the action of the object and its contribution.
GUI-related issue,"""Making sure that the GraphNode is visible does not result in its selection being displayed."""
GUI-related issue,The selection is not displayed when using the function ensureVisible on a GraphNode.
GUI-related issue,The selection is not displayed when using the ensureVisible() function on a GraphNode.
GUI-related issue,TargetVM does not update.
GUI-related issue,TargetVM does not update.
GUI-related issue,TargetVM will not refresh.
GUI-related issue,"On certain occasions, the contents of the Console may be cleared during the process of profiling."
GUI-related issue,There are instances where the Console's contents are erased during profiling.
GUI-related issue,"On occasions, the Console's data may be erased during profiling."
GUI-related issue,The latest Visual Class wizard enables the extension of Composite which results in poor quality code and the occurrence of errors.
GUI-related issue,The newly introduced Visual Class wizard expands the Composite generation and detects faulty code and errors.
GUI-related issue,The latest Visual Class wizard enhances the Composite functionality and minimizes the occurrence of faulty code and errors.
GUI-related issue,Removing filled TabFolders results in the editor becoming unresponsive until the remote Virtual Machine reaches its timeout limit.
GUI-related issue,"When a populated TabFolder is deleted, the editor will become unresponsive and remain in that state until the remote virtual machine times out."
GUI-related issue,Removing a filled TabFolder results in the editor becoming unresponsive until the remote virtual machine reaches its timeout.
GUI-related issue,Issues with configuring and implementing styles in modeling using SWT ToolItem
GUI-related issue,Difficulties with developing and determining styles using SWT ToolItem
GUI-related issue,Issues with using ToolItems in SWT while attempting to model and apply different styles.
GUI-related issue,The UI editparts in CardLayout are not displayed accurately by the Pause/Reload function.
GUI-related issue,The CardLayout function does not accurately showcase the user interface edits for the Pause or Reload options.
GUI-related issue,The Pause/Reload function does not present the UI editparts accurately when using CardLayout.
GUI-related issue,Altering location markers does not result in GUI modifications for JVECDGEN01.
GUI-related issue,The GUI does not get updated when the location annotations are modified.
GUI-related issue,Modifying location notes does not prompt GUI to refresh – JVECDGEN01
GUI-related issue,'Ease of access: Tabular details for method invocation cannot be reached solely using keyboard commands'
GUI-related issue,'Usability: Keyboard-only users cannot access the method invocation details table.'
GUI-related issue,Accessible: Keyboard-only access not available for method invocation details table.
GUI-related issue,The manual test execution application is not capable to have its text read by a screen reader for accessibility purposes.
GUI-related issue,The manual test execution application is not readable by the screen reader.
GUI-related issue,"The manual test execution application is not readable by the screen reader, making it inaccessible."
GUI-related issue,"Refreshing a soiled editor prompts the cache to be updated, even if the document was not saved."
GUI-related issue,Refreshing a soiled editor prompts the cache to be updated despite the file not being saved.
GUI-related issue,"'Refreshing a contaminated editor leads to the cache being updated, despite the file not being saved.'"
GUI-related issue,Encountering NPE while using Customize Layout dialogue and switching between tabs in a TabFolder.
GUI-related issue,'Customization of layout and tab transition in TabFolder causing NPE'
GUI-related issue,The occurrence of NPE when using the Customize Layout dialog and changing tabs in a TabFolder.
GUI-related issue,The occurrence of extensive Composites is caused by SWT Launcher.
GUI-related issue,The use of SWT Launcher results in significant Composites.
GUI-related issue,The use of SWT Launcher results in substantial Composites.
GUI-related issue,Improper Arrangement of Swing Elements
GUI-related issue,Mistaken Placement of Swing Elements
GUI-related issue,Improper Arrangement of Swing Elements
GUI-related issue,"""Alter the Location Property on JVELAYT01, but if you reverse the change, the control will no longer be hidden."""
GUI-related issue,'JVELAYT01: Alter Location Attribute and Revert Causes Control to Become Concealed'
GUI-related issue,Updating the Location Property for JVELAYT01 results in the control being hidden when the Undo command is executed.
GUI-related issue,The SWT renderer is incapable of handling bar charts with horizontal or stacked horizontal orientation.
GUI-related issue,The horizontal bar and horizontal stack bar charts are not supported by the SWT renderer.
GUI-related issue,The horizontal bar and horizontal stack bar charts are not compatible with the SWT renderer.
GUI-related issue,The TVT3.1 software issue where the 416-BIDI icon does not appear flipped in the product-PDE.
GUI-related issue,TVT3.1: The tct 416-BIDI symbol does not appear inverted in the product-PDE.
GUI-related issue,TVT3.1: The tct 416-BIDI icon is not reversed on the product-PDE.
GUI-related issue,Transform post_bug.cgi into a template.
GUI-related issue,Create a template for the post_bug.cgi function.
GUI-related issue,Create a template for post_bug.cgi
GUI-related issue,Transform process_bug.cgi into a template.
GUI-related issue,Transform process_bug.cgi into a template.
GUI-related issue,Make the process_bug.cgi into a template.
GUI-related issue,Conduct an evaluation of the FILTER usage in the show_bug.html.tmpl file.
GUI-related issue,Perform an examination of show_bug.html.tmpl to check for any instances of FILTER being used.
GUI-related issue,Conduct an examination of the code in show_bug.html.tmpl to identify the utilization of FILTER.
GUI-related issue,Revised: 'Evaluation: Incorporate <label> into email preferences; Version 2: Revise with account/prefs/email.html.tmpl'
GUI-related issue,'Reviewed: Incorporate <label> into email preferences; Version 2: Revise by referencing account/prefs/email.html.tmpl'
GUI-related issue,'Evaluation: Incorporate <label> into email preferences; v2: Revise based on account/prefs/email.html.tmpl template.'
GUI-related issue,'review: The radiobuttons in search/knob.html.tmpl should incorporate the <label> element; v2: Implement <label> for the check/radiobuttons in search/knob.html.tmpl'
GUI-related issue,"The review suggests that the search/knob.html.tmpl file includes the use of <label> tags for the radio buttons. In the revised version (v2), <label> tags have been added to the check/radiobuttons in the search/knob.html.tmpl file."
GUI-related issue,'review: Modify the use of <label> in search/knob.html.tmpl to include radiobuttons; v2: Incorporate <label> for the check/radiobuttons in search/knob.html.tmpl'
GUI-related issue,"""Revising: The bug/create/create.html.tmpl review calls for the implementation of <label>; A patch has been submitted for the group permission checkboxes in bug/create/create.html.tmpl."""
GUI-related issue,'Review: The bug/create/create.html.tmpl file should incorporate the use of <label> for the group permission checkboxes; A patch has been proposed for this issue.'
GUI-related issue,'Critique: The bug/create/create.html.tmpl file needs to incorporate <label>; Correction for the group permission checkboxes in bug/create/create.html.tmpl'
GUI-related issue,"""Evaluation: The file attachment/*.tmpl must utilize <label>; Version 1: Update the ./edit.html.tmpl and ./create.html.tmpl files in the ./attachment/* directory."""
GUI-related issue,"Edit required for ./attachment/* templates to include <label>, based on review of v1. Modifications needed for ./edit.html.tmpl and ./create.html.tmpl."
GUI-related issue,'Review requested for: Using <label> in attachment/*.tmpl; Version 1: Make modifications to ./edit.html.tmpl and ./create.html.tmpl within the ./attachment/* directory.'
GUI-related issue,"Revised: Improve efficiency by changing ""all selected"" to ""none selected"" in Patch v.2 review."
GUI-related issue,"Revised: Enhance efficiency by changing from ""all selected"" to ""none selected""; Modified version v.2"
GUI-related issue,"""Enhancement: Transform ""all selected"" to ""none selected"" to improve efficiency; Revised patch version 2."""
GUI-related issue,"In order to improve efficiency, the suggested change is to switch the option from ""all selected"" to ""none selected"". This has been implemented in Patch version 3."
GUI-related issue,"""Enhancement: Increase efficiency by changing 'all selected' to 'none selected'; Patch version 3"""
GUI-related issue,"Critique: Enhance efficiency by changing ""all selected"" to ""none selected""; Update version 3."
GUI-related issue,"Review: Optimize by changing ""all selected"" to ""none selected""; Patch version 3."
GUI-related issue,"""Efficiency improved by changing 'all selected' to 'none selected' in Patch v.3."""
GUI-related issue,"Modification: Transform ""all chosen"" to ""none chosen"" for increased efficiency; Update version 3."
GUI-related issue,"'Assessment: After selecting ""And"", the button labeled ""Add another boolean chart"" is displayed twice; this is addressed in Patch v.1'"
GUI-related issue,"After selecting ""And"", the ""Add another boolean chart"" button is displayed twice; Analysis v.1"
GUI-related issue,"A review was done on Patch v.1 and it was discovered that the button labeled ""Add another boolean chart"" appears twice whenever the ""And"" button is clicked."
GUI-related issue,Unexpected error occurs while modifying the status of a bug that has dependencies.
GUI-related issue,Encountering an error while attempting to modify the status of a bug that is reliant on other issues.
GUI-related issue,A bug with dependencies may cause a crash when attempting to alter its status.
GUI-related issue,"Triggering a flag (either from the attached information or during the attachment upload) leads to an ""Undetected bug identification."""
GUI-related issue,"Choosing a flag (either from the attachment information or during the process of attaching a file) leads to an outcome of ""Absent bug identification."""
GUI-related issue,"Triggering a flag (either from the attached information or during the attachment upload process) leads to the occurrence of an ""Absent bug ID""."
GUI-related issue,A summary of the changes made in Patch v.1 includes adding additional <link> elements and making the navigation links more template-friendly.
GUI-related issue,Evaluation: Enhanced <link> components & implementation of navigation_links template; Update version 1
GUI-related issue,Summary: Evaluation of Additional <link> Elements and Navigation Link Templating in Patch v.1
GUI-related issue,GIF is not suitable as a link.
GUI-related issue,The link provided does not function as a GIF.
GUI-related issue,GIF is not suitable for use as a link.
GUI-related issue,Links with relevant titles are shown above the arrows of the scroll bar.
GUI-related issue,Titles for Related Links are visible above the arrows for the scroll bar.
GUI-related issue,The over scroll bar arrows display titles of related links.
GUI-related issue,The menu accesskey (shortcut key) information must be present in the DTD.
GUI-related issue,The information for the accesskey (shortcut key) on the menu should be included in the DTD.
GUI-related issue,'The information for the accesskey (keyboard shortcut) of the menu should be included in the DTD.'
GUI-related issue,"Display previously hidden inline elements, such as named anchors, in the editor."
GUI-related issue,"""Allow typically vacant inline elements (such as named anchors) to be visible in the editor."""
GUI-related issue,Show typically blank inline elements (such as named anchors) in the editor.
GUI-related issue,The HTML content section refreshes completely when hovering over a hyperlink.
GUI-related issue,"""The whole HTML section will be refreshed when hovering over a hyperlink."""
GUI-related issue,"When hovering over a link, the entire HTML content section is repainted."
GUI-related issue,The alignment of horizontal lines is not accurate on top of a table that is floating.
GUI-related issue,The alignment of horizontal lines is not accurate when placed over a floating table.
GUI-related issue,Floating tables cause horizontal lines to be positioned off-center.
GUI-related issue,Italicized text is assessed and rendered with incorrect measurements.
GUI-related issue,Italics are improperly measured and displayed.
GUI-related issue,There are errors in the measurement and rendering of italics.
GUI-related issue,The text of buttons is not displayed if HTML strict and CSS height are being used.
GUI-related issue,Buttons' text is not displayed when HTML strict and CSS height are used.
GUI-related issue,The text of buttons is not visible when HTML strict and CSS height are utilized.
GUI-related issue,Javascript cannot alter images across frames.
GUI-related issue,Javascript cannot alter image across frames.
GUI-related issue,Javascript cannot alter image across frames.
GUI-related issue,The recommended fonts for the Baltic region are exclusively iso-8859-4.
GUI-related issue,The proposed fonts for Baltic languages are exclusively iso-8859-4.
GUI-related issue,The proposed Baltic typefaces are limited to iso-8859-4 only.
GUI-related issue,"Sun's copy, cut, and paste function is not functioning on the HTML editor."
GUI-related issue,"The functionality of the Copy, Cut, and Paste keys on Sun's HTML Editor is currently not functioning."
GUI-related issue,The Copy/Cut/Paste function on the Sun's HTML Editor does not function.
GUI-related issue,Not including semicolons after escape characters results in the browser crashing.
GUI-related issue,The absence of semicolons on escape characters can cause the browser to stop functioning properly.
GUI-related issue,The absence of semicolons in escape characters can lead to a crash in the browser.
GUI-related issue,The ALL frame of the homepage is not eligible for the use of character coding.
GUI-related issue,The character encoding cannot be used for the entire homepage frame.
GUI-related issue,It is not possible to implement character encoding on the entire homepage.
GUI-related issue,'Establishing image origin through DOM techniques no longer functional'
GUI-related issue,Changing the image URL using DOM methods is now ineffective.
GUI-related issue,'Setting the image's source through DOM methods is currently dysfunctional.'
GUI-related issue,The titles and links related to CJK displayed nonsensical content on the Sidebar Related Links section.
GUI-related issue,The titles and links for CJK languages in the Sidebar Related Links were shown as gibberish.
GUI-related issue,"'Chinese, Japanese, and Korean titles/links on the Related Links section on the Sidebar were showing jumbled content.'"
GUI-related issue,"The ""View Original"" function in the auto translate feature results in a blank page being displayed."
GUI-related issue,The functionality of automatically translating a feature to display the original version is currently resulting in a blank page.
GUI-related issue,"The ""View Original"" function on the auto translate feature displays a blank webpage."
GUI-related issue,"Due to a malfunctioning html form select, it is currently not possible to utilize Bugzilla for the purpose of reporting, updating, or querying bugs."
GUI-related issue,"The HTML form select feature is not functioning properly, thus preventing the use of Bugzilla for reporting, updating, and querying bugs."
GUI-related issue,"Due to a malfunction in the HTML form select, the use of Bugzilla for reporting, updating, or querying bugs is currently unavailable."
GUI-related issue,Mistakes in filling out the form on bug pages (form submitted incorrectly)
GUI-related issue,Erroneous submission of forms on bug pages (incorrect form provided)
GUI-related issue,The improper submission of forms on bug pages (incorrect form was submitted).
GUI-related issue,There is a bug identified as 594553 causing issues with shadow layers on android.
GUI-related issue,The android shadow layers have been disrupted due to a bug identified as 594553.
GUI-related issue,"The functionality of shadow layers on android has been disrupted due to a bug, specifically bug 594553."
GUI-related issue,The virtual keyboard will cover the entire screen due to bug 860318.
GUI-related issue,The bug 860318 causes the virtual keyboard to occupy the entire screen.
GUI-related issue,The complete display being affected by bug 860318 resulting in a virtual keyboard.
GUI-related issue,The Bugzilla helper is not functioning properly.
GUI-related issue,The functionality of Bugzilla helper is not working correctly.
GUI-related issue,The functionality of Bugzilla helper is not functioning properly.
GUI-related issue,Any text enclosed between < and > will not be visible in bugmail.
GUI-related issue,Words enclosed in < and > are not visible in bug-related emails.
GUI-related issue,Text enclosed in < > tags is not visible in bugmail.
GUI-related issue,Typing a # symbol in the designated SMTP auth username box causes the SMTP server's name to vanish from the dropdown menu on the SMTP server (Mozilla Mail 1.3).
GUI-related issue,Typing a hashtag symbol in the textbox for SMTP authentication username causes the SMTP server name to disappear from the dropdown list of servers in Mozilla Mail 1.3.
GUI-related issue,Typing a # symbol in the username field for SMTP authentication leads to the SMTP server's name disappearing from the dropdown menu of the SMTP server in Mozilla Mail 1.3.
GUI-related issue,Incorrect support for the <IFRAME> element.
GUI-related issue,'The <IFRAME> element is not functioning properly.'
GUI-related issue,The <IFRAME> element not functioning properly.
GUI-related issue,"""Email and News | Account Settings | Cancel->Cancel"""
GUI-related issue,'Correspondentie en Actualiteiten | Accountopties | Stop -> Beëindigen'
GUI-related issue,Mail and News | Account Settings | Cancel -> Cancel
GUI-related issue,The top of the browser window on Mac experiences a loss of 4 pixels.
GUI-related issue,'4 pixels at the top of the browser window are lost by Mac'
GUI-related issue,There is a loss of 4 pixels in the top area of the Mac's browser window.
GUI-related issue,"When the pull-down menu is selected, a gray dotted border will encircle it, as well as the submit buttons."
GUI-related issue,A faded gray border is displayed surrounding the perimeter of the dropdown menu and the submit buttons.
GUI-related issue,"When viewing the pull-down menu and submit buttons, a faint gray outline can be seen surrounding their edges."
GUI-related issue,"The initial dropdown menu at the top; when an item is chosen from this menu and the go button is clicked, the host is not continuously resolved."
GUI-related issue,"The initial drop-down menu at the top; when an item is chosen from this menu and the go button is clicked, the host is not consistently resolved."
GUI-related issue,"""The menu located at the top, first in the list; upon choosing an item from this menu and clicking the go button, the host is not continuously resolved."""
GUI-related issue,"According to JA, the destination page of the third link from the bottom seems to have been relocated."
GUI-related issue,"According to the third link from the bottom, it seems that the intended page on Rakuten has been relocated."
GUI-related issue,The third link from the bottom on the page for Rakuten seems to have been relocated.
GUI-related issue,There are a pair of eBay URLs that share the same title.
GUI-related issue,There are two identical eBay links under the name JA:PR2.
GUI-related issue,JA:PR2 contains two identical eBay hyperlinks
GUI-related issue,Typo in the name of the DE:PR1 eBay item found in the drop-down menu
GUI-related issue,Incorrect spelling found for eBay item on dropdown menu
GUI-related issue,Typographical error in the eBay item selection drop-down list for DE:PR1.
GUI-related issue,"""The list of DE:PR1 eBay items in the drop-down menu is not sorted in alphabetical order."""
GUI-related issue,The eBay items in the pull-down section are not organized in alphabetical order.
GUI-related issue,The items in the pull-down menu of eBay under DE:PR1 are not organized in alphabetical order.
GUI-related issue,"Please modify the text to say ""Revise the ""Events"" option in the eBay drop-down menu to ""Highlights""."""
GUI-related issue,"Modify the text by replacing ""Events"" with ""Highlights"" in the eBay dropdown menu."
GUI-related issue,"Modify the current option ""Events"" in the eBay drop-down menu to ""Highlights""."
GUI-related issue,"The issue of searching within the ""investorworld-Finanzcommunity"" on DE:PR1."
GUI-related issue,"The issue of searching for ""investorworld-Finanzcommunity"" on DE:PR1 needs to be addressed."
GUI-related issue,"Problem with searching for ""investorworld-Finanzcommunity"" on DE:PR1."
GUI-related issue,The Arrow image next to the 'Anmelden' appears to be positioned too high in Investor World.
GUI-related issue,From: 'Investor World' Website; The arrow icon beside the 'Sign In' button is positioned too high.
GUI-related issue,Investor World: The arrow icon beside 'Login' seems to be positioned too high.
GUI-related issue,The logo for DE:PR1 investorworld is not suitable for the panel.
GUI-related issue,The investorworld logo in DE:PR1 is not suitable for the panel.
GUI-related issue,The logo for DE:PR1 investorworld is not suitable for the panel it is being used in.
GUI-related issue,Some of the sidebar items are too large for the default panel size.
GUI-related issue,Some of the sidebar elements are incompatible with the standard panel dimensions.
GUI-related issue,The predetermined panel dimensions do not accommodate certain sidebar elements in DE:PR1.
GUI-related issue,Certain material cannot be arranged in a vertical manner within panels.
GUI-related issue,Certain material is incompatible with the vertical dimensions of panels.
GUI-related issue,Certain material may not be vertically compatible with panels.
GUI-related issue,"In the tab window, ALaFolie's background image is replicated in both the FR and DE versions."
GUI-related issue,The background image of FR/DE:PR1 ALaFolie is replicated in the tab window.
GUI-related issue,Background image in the tab window of FR/DE:PR1 ALaFolie is a duplicate.
GUI-related issue,The website alafolie.de is not visible in the sidebar customization on DE:PR1.
GUI-related issue,The website alafolie.de is not visible when customizing the sidebar on DE:PR1.
GUI-related issue,The website alafolie.de is not visible when customizing the sidebar in DE:PR1.
GUI-related issue,The DE:PR1 alafoli.de hyperlinks direct users to FR pages.
GUI-related issue,The links on alafoli.de with the label DE:PR1 redirect the user to pages in the French language.
GUI-related issue,DE:PR1 alafoli.de Verknüpfungen führen Benutzer zu FR Seiten.
GUI-related issue,Closing the Warpzilla menus is not possible by clicking away from the Browser Menu selection.
GUI-related issue,Closing Warpzilla menus is not possible by selecting an option from the Browser Menu.
GUI-related issue,Selecting items from the Browser Menu will not automatically close the menus for Warpzilla.
GUI-related issue,All text columns should have a priority color.
GUI-related issue,The color priority should apply to all text columns.
GUI-related issue,The color used for priority should be applied to every text column.
GUI-related issue,"The spelling of ""Hyper Text Markup Language"" should be changed to ""HyperText Markup Language""."
GUI-related issue,"The phrase ""Hyper Text Markup Language"" ought to be written as ""HyperText Markup Language""."
GUI-related issue,"The proper term ""Hyper Text Markup Language"" should instead be referred to as ""HyperText Markup Language""."
GUI-related issue,"The page's position is not maintained when returning to previous tabs, excluding the initial one."
GUI-related issue,The page position is not maintained when returning to previous tabs past the first one.
GUI-related issue,The page's position is not maintained when navigating back within a tab after the first one.
GUI-related issue,"After modifying image links in the source code, image files are reduced to a size of 16kB."
GUI-related issue,"When making changes to image links in the source view, the related image files will be limited to a maximum size of 16kB."
GUI-related issue,"After altering the image links in the source view, the linked image files were reduced to 16kB."
GUI-related issue,Emails are vanishing from mail directories.
GUI-related issue,emails vanishing from email directories
GUI-related issue,Emails vanishing from email folders
GUI-related issue,The Sidebar cannot have new panels added to it as the Panels window is currently devoid of any panels.
GUI-related issue,"The Panels window is currently vacant, therefore, it is not possible to insert new panels into the Sidebar."
GUI-related issue,"The Panels window is devoid of content, making it impossible to insert any new panels on the Sidebar."
GUI-related issue,The Sidebar Tabs that are currently open do not align with the established specifications.
GUI-related issue,The sidebar tabs that are currently open do not meet the specifications.
GUI-related issue,'The active sidebar tabs do not align with the specifications.'
GUI-related issue,It is challenging to read the default popup text and text background colors on Warpzilla.
GUI-related issue,Changing the default colors of text and background in Warpzilla can make them hard to decipher.
GUI-related issue,Changing the default color settings for popup text and text background on Warpzilla can improve readability.
GUI-related issue,The build ID displayed in the Warpzilla titlebar is incorrect.
GUI-related issue,Invalid build identification displayed in Warpzilla window heading.
GUI-related issue,Incorrect identification number in Warpzilla's top bar.
GUI-related issue,"Unable to ""Grab"" the separator bar in the three-pane view to adjust its size."
GUI-related issue,"Unable to ""seize"" the divider in three-panel display for adjusting the size."
GUI-related issue,"'Unable to ""seize"" separator bar in three-pane display for resizing purposes'"
GUI-related issue,The content on bil.lu is not fully visible on the page.
GUI-related issue,The content on bil.lu is not fully visible on the page.
GUI-related issue,"""bil.lu - Incomplete page display"""
GUI-related issue,JavaScript dropdown lists are not functional.
GUI-related issue,The drop-down menus in JavaScript are malfunctioning.
GUI-related issue,JavaScript dropdown menus are not functional.
GUI-related issue,Images for the header are absent on the Tiny Software website.
GUI-related issue,Images are absent in the header of the Tiny Software web page.
GUI-related issue,Header images are absent on the Tiny Software website.
GUI-related issue,The text in the input box is not visible as it is too small.
GUI-related issue,"The input box is too small, making it difficult to view the text being typed."
GUI-related issue,The text in the input box is not visible as it is too small.
GUI-related issue,The saved information's homepage section will not be retained.
GUI-related issue,The stored information will not retain the homepage field.
GUI-related issue,The homepage section in my saved data will not be recollected.
GUI-related issue ,An error occurs when utilizing a poorly constructed design.
GUI-related issue ,An error may occur if a poorly structured layout is utilized.
GUI-related issue ,There is an error encountered when implementing an improperly structured layout.
GUI-related issue ,Greek Expanded character causing an ArrayIndexOutOfBoundsException.
GUI-related issue ,The occurrence of throwing ArrayIndexOutOfBoundException caused by Greek Extended characters.
GUI-related issue ,A Greek Extended character caused an ArrayIndexOutOfBoundsException.
GUI-related issue ,Problem encountered while modifying a recently created German document using Kupu.
GUI-related issue ,An error occurs while making changes to a freshly created German document using Kupu.
GUI-related issue ,An error occurred while trying to modify a recently created German document using Kupu.
GUI-related issue ,"The alignment function designated by 'text-align=""end""' is not functioning correctly."
GUI-related issue ,"The alignment specified by 'text-align=""end""' is not functioning correctly."
GUI-related issue ,"The function ""text-align=""end"" does not function adequately."
GUI-related issue ,The output of a document is located within the boundaries of the page margins.
GUI-related issue ,Page margins are utilized for the placement of output in a document.
GUI-related issue ,The output for the document is positioned within the margins of the page.
GUI-related issue ,'[information section] The site's tree structure was not refreshed following a cut and paste action.'
GUI-related issue ,'[information zone] the site's navigation structure was not updated after moving content by cutting and pasting'
GUI-related issue ,'[informational section] sitemap not refreshed following cut and paste'
GUI-related issue ,Image links do not utilize UUIDs.
GUI-related issue ,Image links do not employ UUIDs.
GUI-related issue ,Image links do not employ UUIDs.
GUI-related issue ,Unable to locate font if font name includes space in family name.
GUI-related issue ,Cannot locate font when font family name includes blank space.
GUI-related issue ,"If the font family name has a space, it cannot be located."
GUI-related issue ,The material following an enforced pause in the block-container is not displayed.
GUI-related issue ,Content that appears after a block-container has been forcibly interrupted will not be displayed.
GUI-related issue ,The material following a mandated pause in a block container will not be displayed.
info release issue,[UPDATE] The JAI image does not properly release all resources / Failure to detect LinkageError.
info release issue,[Update] The JAI image is not fully releasing its resources and the LinkageError is not being detected.
info release issue,'[FIX] The JAI image does not properly release all resources / failure to catch LinkageError'
info release issue,[Proposal] JAI image fails to release all resources / Uncaught LinkageError
info release issue,Publish version 1.0
info release issue,Launch the initial version 1.0
info release issue,'Launch v1.0'
info release issue,Version 1.0 has been made available.
info release issue,Incorrect heading on the FOP 0.93 Release Notes page.
info release issue,The title on the Release Notes page for FOP version 0.93 was incorrect.
info release issue,Incorrect heading displayed on the FOP 0.93 Release Notes webpage.
info release issue,Incorrect heading displayed on FOP 0.93 Release Notes page
info release issue,"Generate a comprehensive list of Bugzilla milestones and versions for Sirius, reaching up to version 1.0.0."
info release issue,Generate milestones and versions for Sirius up until version 1.0.0 in Bugzilla.
info release issue,Establish all the milestones and iterations for Sirius up to version 1.0.0 in bugzilla.
info release issue,Please generate Bugzilla milestones and versions for Sirius until 1.0.0 is reached.
info release issue,Assess the application of utility classes for elements and move API to models.
info release issue,Assess the implementation of utility classes for components and transfer API responsibility to models.
info release issue,Assess the implementation of utility classes for components and delegate API to models.
info release issue,Assess the application of utility classes for components and delegate API to models.
info release issue,[Project Review] [Online] [Chart] Revise the TPTP Chart and Bugzilla team leaders.
info release issue,[Project Test] [Website] [Matrix] Revise the TPTP Matrix and designate owners for Bugzilla components.
